PPG,Type_1
0,0.478063
0,0.458766
0,0.435854
0,0.419918
0,0.401380
0,0.379820
0,0.355244
0,0.328085
0,0.299176
0,0.269679
0,0.240993
0,0.214646
0,0.192170
0,0.174989
0,0.164309
0,0.161035
0,0.165707
0,0.178464
0,0.199045
0,0.226813
0,0.260805
0,0.299800
0,0.342413
0,0.387180
0,0.432651
0,0.477472
0,0.520454
0,0.560619
0,0.597225
0,0.629782
0,0.658035
0,0.681946
0,0.701664
0,0.717490
0,0.729837
0,0.739196
0,0.746099
0,0.751085
0,0.754672
0,0.757323
0,0.759427
0,0.761276
0,0.763050
0,0.764821
0,0.766548
0,0.768097
0,0.769260
0,0.769783
0,0.769396
0,0.767845
0,0.764918
0,0.760465
0,0.754418
0,0.746789
0,0.737673
0,0.727232
0,0.715681
0,0.703269
0,0.690252
0,0.676881
0,0.663377
0,0.649924
0,0.636662
0,0.623678
0,0.611014
0,0.598667
0,0.586600
0,0.574746
0,0.563019
0,0.551325
0,0.539574
0,0.527687
0,0.515608
0,0.503309
0,0.490794
0,0.478096
0,0.465272
0,0.452388
0,0.439508
0,0.426672
0,0.413886
0,0.401103
0,0.388223
0,0.375092
0,0.361517
0,0.347286
0,0.332203
0,0.316122
0,0.298988
0,0.280867
0,0.261976
0,0.242696
0,0.223566
0,0.205272
0,0.188605
0,0.174419
0,0.163575
0,0.156873
0,0.155000
0,0.158463
0,0.167552
0,0.182309
0,0.202516
0,0.227703
0,0.257183
0,0.290095
0,0.325461
0,0.362252
0,0.399453
0,0.436122
0,0.471438
0,0.504732
0,0.535514
0,0.563468
0,0.588453
0,0.610478
0,0.629681
0,0.646299
0,0.660639
0,0.673042
0,0.683863
0,0.693436
0,0.702064
0,0.709994
0,0.717413
0,0.724445
0,0.731147
0,0.737521
0,0.743521
0,0.749069
0,0.754059
0,0.758378
0,0.761908
0,0.764538
0,0.766170
0,0.766720
0,0.766123
0,0.764334
0,0.761327
0,0.757095
0,0.751649
0,0.745019
0,0.737255
0,0.728422
0,0.718607
0,0.707913
0,0.696461
0,0.684385
0,0.671825
0,0.658924
0,0.645819
0,0.632632
0,0.619466
0,0.606397
0,0.593476
0,0.580724
0,0.568137
0,0.555688
0,0.543333
0,0.531018
0,0.518680
0,0.506253
0,0.493670
0,0.480855
0,0.467729
0,0.454197
0,0.440156
0,0.425487
0,0.410062
0,0.393758
0,0.376466
0,0.358112
0,0.338681
0,0.318239
0,0.296958
0,0.275127
0,0.253169
0,0.231636
0,0.211198
0,0.192618
0,0.176712
0,0.164302
0,0.156159
0,0.152946
0,0.155161
0,0.163092
0,0.176780
0,0.196004
0,0.220286
0,0.248910
0,0.280969
0,0.315422
0,0.351162
0,0.387091
0,0.422190
0,0.455583
0,0.486578
0,0.514707
0,0.539726
0,0.561612
0,0.580538
0,0.596828
0,0.610918
0,0.623297
0,0.634463
0,0.644875
0,0.654925
0,0.664905
0,0.675002
0,0.685287
0,0.695729
0,0.706204
0,0.716517
0,0.726418
0,0.735630
0,0.743870
0,0.750867
0,0.756380
0,0.760217
0,0.762242
0,0.762383
0,0.760642
0,0.757088
0,0.751857
0,0.745144
0,0.737187
0,0.728252
0,0.718615
0,0.708539
0,0.698257
0,0.687957
0,0.677765
0,0.667742
0,0.657885
0,0.648129
0,0.638365
0,0.628449
0,0.618228
0,0.607553
0,0.596303
0,0.584394
0,0.571789
0,0.558501
0,0.544587
0,0.530140
0,0.515272
0,0.500104
0,0.484742
0,0.469272
0,0.453742
0,0.438158
0,0.422478
0,0.406619
0,0.390457
0,0.373848
0,0.356645
0,0.338722
0,0.320005
0,0.300498
0,0.280310
0,0.259680
0,0.238981
0,0.218727
0,0.199553
0,0.182195
0,0.167442
0,0.156092
0,0.148888
0,0.146469
0,0.149307
0,0.157669
0,0.171587
